Key,Source,Context,Changes,English
CarRotatingElevator,items,Elevator,,180 degrees Car Rotator
CarRotatingElevatorDesc,items,Elevator,,"This car elevator rotates your car 180 degrees."
CarRotatingElevatorx2,items,Elevator,,Car elevator 1 floor with rotation
CarRotatingElevatorx2Desc,items,Elevator,,"This elevator brings your car up and down with rotation."
CarElevator2,items,Elevator,,Car Elevator for 1 floor
CarElevator2Desc,items,Elevator,,"This elevator brings your car up and down."
CarRotater,items,Elevator,,90 degrees Car Rotator
CarRotaterDesc,items,Elevator,,"This car rotator rotates your car 90 degrees everytime."
CarElevator2 Powered,items,Elevator,,Powered Car Elevator for 1 floor
CarElevator2 PoweredDesc,items,Elevator,,"This powered elevator brings your car up and down with rotation.."
CarRotatingElevator Powered,items,Elevator,,180 degrees Powered Car Rotator
CarRotatingElevator PoweredDesc,items,Elevator,,"This powered car elevator rotates your car 180 degrees.."
CarRotatingElevatorx2 Powered,items,Elevator,,Powered Car elevator 1 floor with rotation
CarRotatingElevatorx2 PoweredDesc,items,Elevator,,"This powered elevator brings your car up and down with rotation."
CarRotater Powered,items,Elevator,,90 degrees Powered Car Rotator
CarRotater PoweredDesc,items,Elevator,,"This powered car elevator rotates your car 90 degrees."
